iter	Passed	Remaining
1467	104743	109309
1468	104853	109278
1469	104962	109246
1470	105066	109209
1471	105172	109173
1472	105285	109145
1473	105394	109112
1474	105510	109087
1475	105622	109057
1476	105731	109024
1477	105839	108990
1478	105954	108963
1479	106065	108932
1480	106177	108901
1481	106293	108875
1482	106408	108848
1483	106510	108807
1484	106615	108769
1485	106744	108756
1486	106872	108741
1487	106986	108712
1488	107101	108683
1489	107208	108647
1490	107321	108616
1491	107435	108587
1492	107535	108543
1493	107623	108487
1494	107723	108443
1495	107840	108417
1496	107946	108379
1497	108060	108349
1498	108158	108302
1499	108272	108272
1500	108383	108238
1501	108491	108202
1502	108599	108166
1503	108711	108133
1504	108826	108103
1505	108941	108073
1506	109049	108036
1507	109165	108006
1508	109270	107967
1509	109404	107955
1510	109528	107934
1511	109644	107904
1512	109748	107862
1513	109869	107838
1514	109992	107813
1515	110107	107783
1516	110225	107755
1517	110342	107726
1518	110458	107695
1519	110565	107656
1520	110674	107617
1521	110782	107580
1522	110890	107541
1523	111001	107505
1524	111119	107476
1525	111235	107445
1526	111345	107407
1527	111452	107367
1528	111558	107326
1529	111670	107291
1530	111786	107259
1531	111903	107228
1532	112021	107198
1533	112126	107156
1534	112241	107122
1535	112357	107090
1536	112464	107049
1537	112566	107003
1538	112683	106972
1539	112787	106928
1540	112907	106899
1541	113021	106864
1542	113132	106827
1543	113232	106779
1544	113343	106741
1545	113467	106715
1546	113557	106657
1547	113671	106622
1548	113782	106584
1549	113894	106546
1550	114003	106505
1551	114109	106462
1552	114222	106426
1553	114326	106381
1554	114432	106337
1555	114541	106296
1556	114649	106254
1557	114746	106202
1558	114846	106153
1559	114947	106105
1560	115053	106061
1561	115166	106023
1562	115269	105977
1563	115375	105932
1564	115479	105887
1565	115589	105846
1566	115693	105799
1567	115800	105756
1568	115908	105714
1569	116014	105668
1570	116114	105619
1571	116221	105575
1572	116328	105530
1573	116426	105479
1574	116527	105430
1575	116641	105391
1576	116742	105342
1577	116840	105289
1578	116945	105243
1579	117042	105190
1580	117151	105147
1581	117251	105096
1582	117348	105042
1583	117458	105000
1584	117568	104959
1585	117651	104892
1586	117751	104840
1587	117848	104787
1588	117945	104733
1589	118047	104683
1590	118152	104636
1591	118261	104593
1592	118362	104541
1593	118463	104491
1594	118523	104404
1595	118580	104315
1596	118641	104229
1597	118695	104136
1598	118737	104034
1599	118783	103935
1600	118831	103838
1601	118877	103739
1602	118920	103638
1603	118962	103535
1604	119007	103436
1605	119059	103343
1606	119105	103244
1607	119169	103161
1608	119221	103068
1609	119270	102972
1610	119321	102878
1611	119368	102780
1612	119410	102679
1613	119453	102579
1614	119501	102482
1615	119543	102381
1616	119581	102276
1617	119622	102174
1618	119668	102076
1619	119714	101979
1620	119751	101873
1621	119800	101778
1622	119845	101680
1623	119888	101580
1624	119930	101479
1625	119973	101379
1626	120016	101280
1627	120052	101174
1628	120091	101071
1629	120129	100968
1630	120165	100862
1631	120208	100763
1632	120246	100659
1633	120292	100562
1634	120330	100459
1635	120376	100362
1636	120415	100260
1637	120455	100159
1638	120494	100056
1639	120541	99961
1640	120579	99858
1641	120619	99757
1642	120655	99652
1643	120695	99551
1644	120735	99450
1645	120773	99348
1646	120810	99244
1647	120851	99144
1648	120892	99044
1649	120929	98942
1650	120971	98843
1651	121008	98740
1652	121045	98637
1653	121080	98533
1654	121114	98428
1655	121155	98329
1656	121203	98235
1657	121252	98143
